scenario,playback_id,selected_visualizer_strategy,t_ms,input_energy,expanded_energy,final_speaking_energy,adaptive_gain
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,112.0,0.0,0.0,0.3417,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,128.0,0.0,0.0,0.3338,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,144.0,0.0,0.0,0.3287,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,160.0,0.0,0.0,0.3269,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,176.0,0.0,0.0,0.3284,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,192.0,0.0,0.0,0.3321,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,208.0,0.0,0.0,0.3368,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,224.0,0.0,0.0,0.3407,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,240.0,0.0,0.0,0.3419,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,256.0,0.0,0.0,0.3391,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,272.0,0.0,0.0,0.3312,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,288.0,0.0,0.0,0.318,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,304.0,0.0,0.0,0.3002,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,320.0,0.0,0.0,0.2792,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,336.0,0.0,0.0,0.2569,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,352.0,0.0,0.0,0.2358,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,368.0,0.0,0.0,0.2183,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,384.0,0.0,0.0,0.2065,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,400.0,0.0,0.0,0.2021,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,416.0,0.0,0.0,0.2059,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,432.0,0.0,0.0,0.2176,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,448.0,0.0,0.0,0.2363,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,464.0,0.0,0.0,0.26,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,480.0,0.0,0.0,0.2865,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,496.0,0.0,0.0,0.3129,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,512.0,0.0,0.0,0.3368,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,528.0,0.0,0.0,0.3561,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,544.0,0.0,0.0,0.3693,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,560.0,0.0,0.0,0.3757,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,576.0,0.0,0.0,0.3757,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,592.0,0.0,0.0,0.3704,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,608.0,0.0,0.0,0.3613,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,624.0,0.0,0.0,0.3504,0.0
